node_id,name,kind,x_pos,y_pos
N000,Clinic-000,Clinic,37.454011884736246,78.51759613930136
N001,Clinic-001,Clinic,95.07143064099162,19.967378215835975
N002,Clinic-002,Clinic,73.1993941811405,51.42344384136116
N003,Clinic-003,Clinic,59.86584841970366,59.24145688620425
N004,Clinic-004,Clinic,15.601864044243651,4.645041271999773
N005,Warehouse-005,Warehouse,15.599452033620265,60.75448519014384
N006,Warehouse-006,Warehouse,5.8083612168199465,17.052412368729154
N007,Clinic-007,Clinic,86.61761457749351,6.505159298527952
N008,Warehouse-008,Warehouse,60.11150117432088,94.88855372533332
N009,Clinic-009,Clinic,70.80725777960456,96.56320330745594
N010,Warehouse-010,Warehouse,2.0584494295802447,80.83973481164611
N011,Clinic-011,Clinic,96.99098521619943,30.46137691733707
N012,Warehouse-012,Warehouse,83.24426408004217,9.767211400638388
N013,Hospital-013,Hospital,21.233911067827616,68.42330265121569
N014,Clinic-014,Clinic,18.182496720710063,44.01524937396013
N015,Clinic-015,Clinic,18.34045098534338,12.203823484477883
N016,Clinic-016,Clinic,30.42422429595377,49.51769101112702
N017,Hospital-017,Hospital,52.475643163223786,3.4388521115218396
N018,Warehouse-018,Warehouse,43.194501864211574,90.9320402078782
N019,Clinic-019,Clinic,29.122914019804192,25.87799816000169
N020,Warehouse-020,Warehouse,61.18528947223795,66.2522284353982
N021,Hospital-021,Hospital,13.949386065204184,31.171107608941096
N022,Clinic-022,Clinic,29.214464853521815,52.00680211778108
N023,Clinic-023,Clinic,36.63618432936917,54.67102793432797
N024,Hospital-024,Hospital,45.606998421703594,18.485445552552704
